,EssayTopic,EssayBody,S1,S2,S3,EssayScore
,"Although more and more people read news on the Internet, newspapers will remain the most important source of news. Do you agree or disagree? 0","The Internet is beginning to rival newspapers as the best place to find information about  What is happening in the world. I believe that this trend will continue, and the Internet will  Soon be just as important as the traditional press.  On the one hand, I believe that newspapers will continue to be a vital source of  Information, even in the Internet age. Firstly, newspapers are the most traditional means of  Communicating the news, and not everyone wants to or is able to use the Internet instead.  For example, old people or those in rural areas might not have the ability or opportunity to  Get online, while many of us simply prefer newspapers, even if we do have Internet access.  Secondly, newspapers can be trusted as reliable sources of news because they employ  Professional journalists and editors. Finally, many people like the experience of holding  And reading a paper rather than looking at a computer screen.  However, the Internet is likely to become just as popular as newspapers for a variety of  Reasons. The main reason is that it allows us much faster access to news in real time and  Wherever we are, on different gadgets and mobile devices. Another key benefit of online  News compared to newspapers is the ability to share articles, discuss them with others  People, give our views, and even contribute with our own updates on social media. For  Example, there has been an explosion in the use of platforms like Twitter and YouTube  Where anyone can share their news and views. A final point is that this source of news is  Less damaging to the environment.  In conclusion, I disagree with the view that newspapers will continue to be the main source  Of news, because I believe that the Internet will soon be equally important. ",6.5,6.5,6.5,6.5
,"Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree? ","In today's world, it is common to see people getting news updates from the internet rather than the traditional method of reading newspapers. However, some people argue that the newspaper will remain the most important source of news. Moreover, in my opinion, the electronic sources of news will soon replace the newspapers.  The newspaper has remained the most important source of news for several decades and some people believe that it will remain the most important source in the future as well. The people behind this believe are mostly from generation X (older people). There are several reasons behind this thought. Firstly, older people have traditionally bought the newspaper over the years and still prefer to read the newspaper. Secondly, older people are less familiar with the latest technology, which hinders their use of electronic sources. Thirdly, the newspaper also includes other entertainment material such as magazines and crosswords. Therefore, due to the above-mentioned reasons older people still prefer newspapers and argue that the newspaper will remain the major source of news in the future.  However, the newspaper may not completely disappear, the internet is likely to become more dominant sources of news in the future. In today's modern world, digitalisation has become a new sensation and poses a great threat to the traditional newspaper. Various media agencies have already started the process of digitalisation by reducing the number of publishing printed materials. For example, Life, a very famous American magazine company, started in 1972 completely shut down the printed magazines and went online in 2000.  In conclusion, although the newspaper has remained the most important source of news in the past, and the older generation still prefers it to get news updates; electronic sources will gradually replace the newspaper. In addition to this, electronic sources are cheaper and more conveniently accessible. ",6.5,6.5,6.5,6.5
,"Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree? ","It is said that despite the increase in online news popularity, most people will choose newspapers as the most important source of news. I strongly disagree because of accessibility and environmental issues.  Online news is far easier to access than newspapers. Thanks to the internet, by owning a smart phone or a laptop and a clicking on a few links, one can have access to the news in a split second, or receive it through email daily, whereas they had to waste a lot of time walking or driving to one of the limited number of newsstand in the city every day in hot summers or freezing winters. So the internet provided us with news far easier and faster than before.  Moreover, following news on the net is more environmentally friendly than reading newspapers. Annually, a great number of the trees is cut to produce paper for newspaper publication. The less the newspapers are read and subsequently published, the fewer number of trees is cut for such purposes. So more forests are protected which is an environmentally friendly measure.  On the other hand, some believe that the newspapers are more reliable than online news. The news published in a newspaper is acknowledged by some professionals at newspaper office before publication, while there are a significant number of false messages and rumours on the internet which confuses people. So people can trust the accuracy of the news in newspapers compared to online news. However, it is suggested that individuals with reliability concerns can read the news from trusted sources like some channels and websites and ignore the news without citation.  In conclusion, in spite of the long history of newspaper popularity, I believe that it will be replaced by online news for the majority of people as the most important source of news because of availability and environmental considerations. ",6,6,6,6
,"Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree? ","Reading news from newspaper is diminishing with the invention of the internet, however there many people who still prefer newspaper. People should read news from internet or newspaper is a debatable question, but with the increase of modern technology, vast numbers of people prefer to read news from an electronic device. I agree that the importance of newspaper is reducing because of internet.  There are many reasons that why internet had played a vital role for loss of newspaper. first of all, Invention of smart phones, which helps people to read the latest news at any time and place. Not only that, they can even see news videos on it, which is much better then newspapers. Secondly, people can also discuss about news in the comment sections of the website so that the experience of reading news becomes fun and exciting. lastly, news channels now have its own application which is very useful to read news on electronic devices as it have different feature like live news, chatting and some even have games and competitions. So we are not just reading news, but we are involved in it by reading news on electronic devices.  Reading news on internet is very cheap all we need is an internet connection and an electronic device. . Additionally, If we have to read news from newspaper we only get to read in it one language, but with the online news, the scenario is completely different because with the online news we can read it in any language of the world. Online news is not limited to a region or country, unlike newspaper, as we get to read the various country news with the help of internet.  To conclude that, reading news online is efficient and convenient than that of newspaper. moreover, one cannot deny that internet can completely stop the use of newspaper provided that there are a lot of people in various countries still prefer to read news from newspaper. ",6,6,6,6
,"Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree? 0","Even though there is a rapid increase in the number of people who read news online, another important part of the worldwide population considers traditional newspapers to be a more reliable and important information source. Nevertheless, it is my firm belief that the internet has many advantages newspapers do not, and will therefore replace the majority of them.  In the first place, it is important to consider that every newspaper article can be found online. Each media service such as BBC, The New York Times or The Guardian has their own website in which they post all the latest news. Such articles have the same sources as those printed in newspapers, guaranteeing the reliability of the uploaded material. For instance, should readers choose to search for news online, they would certainly have the option to access multiple platforms which lead to a variety of different opinions. Additionally, searching for a specific article online is faster and easier than going through the pages of a newspaper, due to the ability to look for them using keywords or filtering specific topics.  Furthermore, it is not only faster to access to news online, but it is also cheaper. The grand majority of news websites such as BBC news are free, although there are others like The New York Times, which ask its readers to pay for a subscription before they can access all the featured content on their site. However, the latter might still be better than buying a copy of the newspaper. According to Times spokeswoman Eileen Murphy, each copy of the New York Times cost $2 for each Monday through Saturday edition, while each Sunday edition cost up to $6. This leaves a total of $18 per week, which is relatively high compared to the monthly subscription of $16. 99 offered by the same print on their website.  In conclusion, it is foreseeable that the internet might replace newspapers in the near future due to the advantages it offers that the latter cannot. It is safe to say that using the internet as a main source of information gives readers the ability to navigate through different sources as well as choosing better and cheaper options to spend their money on if they so desire. ",9,9,9,9
,"Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree? 3","Reading news on the internet or newspaper for major people have been a heated topic constantly. There is a common notion that newspapers are still the most vital source despite the innovation that the internet has brought to the information provision process.  Newspapers remain an important source of news for several reasons. The first of these is that the older generation still prefer to read their news this way, which is because they have traditionally bought a paper over the years and so do not wish to change or simply do not know how to do so online in some cases. So, this a journal also comes with other supplements, such as magazines and television guides and sources of entertainment such as crosswords.  However, though newspaper may not disappear completely, the internet is likely to become the dominant cause of news over time. This is primarily because younger people tend to read the news online and prefer not to pay for it, so those reading newspapers, the older generations, will gradually decline. This links in with the second reason, which is that as media companies start to see a drop in income from newspapers, printing them will become unprofitable and they will be forced to find ways to make money from news online. Plus, the audience, with an internet-connected device, is allowed to access news under the form of video clips, which are by no means available on newspapers. Additionally, the Internet will replace newspapers as the most important source of news in the foreseeable future.  In conclusion, although newspapers remain popular today, they will gradually be replaced by the desire to read the news through electronic sources. This may be a sad loss given their history, but unfortunately it is an unavoidable development. ",8,8,8,8
,"Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree? 5","Even though there is a rapid increase in the number of people who read news online, another important part of the worldwide population considers traditional newspapers to be a more reliable and important information source. However, it is my firm belief that the internet has many advantages newspapers do not, and will therefore replace the majority of them.  In the first place, it is important to consider that every newspaper article can be found online. Each media service such as BBC, The New York Times or The Guardian has their own website in which they post all the latest news. Such articles have the same source of information as those printed in newspapers, guaranteeing the reliability of the uploaded information. For instance, should readers choose to search for news online, they would certainly have the option to access multiple platforms which lead to a variety of different opinions. Additionally, searching for a specific article online is faster and easier than going through the pages of a newspaper, due to the ability to look for them using keywords or filtering specific topics.  Furthermore, it is not only faster to access this information through the internet, but it is also cheaper. The grand majority of news websites such as BBC news are free, although there are others like The New York Times, which ask its readers to pay for a subscription before they can access all the featured content on their site. However, the latter might still be better than buying a copy of the newspaper. According to Times spokeswoman Eileen Murphy, each copy of the New York Times cost $2 for each Monday through Saturday edition, while each Sunday edition cost up to $6. This leaves a total of $18 per week, which is relatively high compared to the monthly subscription of $16. 99 offered by the same print on their website.  In conclusion, it is foreseeable that the internet might replace newspapers in the near future due to the advantages the first one offers that the latter cannot. It is also safe to say that using the internet as a main source of information gives readers the ability to navigate through different sources as well as choosing better and cheaper options to spend their money on if they so desire. ",8,8,8,8
,"Although more and more people read news on the internet, newspapers will remain the most important source of news. To what extent do you agree or disagree? 7","It is common at the present time to see people getting updates on the latest news from the internet rather than the traditional method of reading a newspaper. I would argue that electronic sources of news will gradually replace that of the journal.  Newspapers remain an important source of news for several reasons. The first of these is that the older generation still prefer to read their news this way, which is because they have traditionally bought a newspaper over the years and so do not wish to change or simply do not know how to do so online in some cases. In addition to this a journal also comes with other supplements, such as magazines and television guides, and sources of entertainment, such as crosswords. This makes it more attractive for some than going online.  However, though newspapers may not disappear completely, the Internet is likely to become, the most dominant source of news over time. This is primarily because younger people tend to read the news online and prefer not to pay for it, so those reading newspapers, the older generations, will gradually decline. This links in with the second reason, which is that as media companies start to see a drop in income from newspapers, printing them will become unprofitable and they will be forced to find ways to make money from news online.  In conclusion, although newspapers remain popular today, they will gradually be replaced by the desire to read the news through electronic sources. This may be a sad loss given their history, but unfortunately it is an unavoidable development. ",8.5,8.5,8.5,8.5
,"Although more and more people read news on the Internet, newspapers will still remain the most important source of news. Do you agree or disagree? ","The widespread utilization of Internet has revolutionized the way people read news, meaning that, they increasingly go online to obtain news. Despite this popularity, it is argued that newspapers will not fade in importance and will still be a common source. I partially agree with this opinion and explain why in the following paragraphs.  Today's digital era has made all sorts of information, including news, accessible online. Everyone now is trying to read online news on the Internet, because this mode of obtaining news is more interactive and richer in content with videos and sounds provided on websites. Another point in favor of e-news would be their accessibility. For example, if one was waiting in a long queue or else in a coffee shop for somebody, simple access to the Internet would provide comforts of reading online news rather than searching for a newspaper.  However, newspapers are effortless for people; they can easily read paper-based news without the need to go online and searching for particular websites, such as CNN or BBC. In addition to this, paper-based news pass through editing multiple times and huge publisher companies are held largely accountable for the content they provide in their articles. More specifically, reporters collect up-to-date information and editors check this several times before allowing it to be published. This will, in turn guarantee reliability of such news. Ultimately, stating that newspapers will lose their significance is to ignore the traditional and more conservative members of society who are less computer-literate; this is particularly true for older people.  By way of conclusion, although the number of people reading e-news due to their accessibility and interactivity is increasing at a rapid pace, I believe that paper news will still be considered as important. This is because, reliability and personal preferences to read such news will be of equal significance as online news. ",6,6,6,6
,"Although more and more people read the news on internet, newspapers will remain the most important source of news for the majority of people. Do you agree or disagree?","In the modern world, obtaining news on the Internet has become an accelerating trend. I have faith in the likelihood of this trend overshadowing the traditional way of reading newspapers to become the most crucial source of news. The most obvious proof supporting my viewpoint is the decline in the popularity of traditional newspapers. Conventional newspapers' nature is characterized by a thorough and time-consuming process of editing, printing, and distributing. This turns out to be a weakness that causes newspapers to fail to meet the instant quest for news of modern newsreaders. In addition, due to the fact that printed newspapers are geographically limited, their reach and exposure levels are be becoming substantially lower than those of online news. Apparently, it is online press, not the traditional one, which helps news seekers all over the globe access local news as well as global news published by a variety of internationally prestigious newspapers including BBC, New York Times, and Wall Street Journal. Such availability of online news far outweighs that of printed news, steadily dominating the news industry.  Moreover, the advantages of online news significantly surpass those of printed newspaper. In this era of advanced technology and communication, the omnipresence of the Internet and the availability of Internet devices have boosted the popularity of online news to the extent that the concept of buying and reading a printed newspaper would become obsolete and inconvenient. Online platforms which facilitate fast-moving and immediate news updates will certainly become the utmost solution to satisfy increasing demand and busy news seekers. Thanks to Internet-based platforms, news about an incident happening half the world away could be retrieved within a few seconds after its commencement, which renders news updates one day later on conventional newspapers out of date.  In conclusion, despite the fact that printed newspapers still hold an important role, I firmly support the tendency that they will be eclipsed by online news. ",6,6,6,6
,"Although more and more people read the news on internet, newspapers will remain the most important source of news for the majority of people. Do you agree or disagree? ","It is true that a growing number of people are using the Internet in order to find out the latest news. While newspapers are still popular, I strongly disagree that most people will continue to rely on them as a source of news.  The first reason for my view relates to the increasing use of the Internet around the world. Today, a growing number of people have access to online news via technological gadgets such as smart phones or tablets, so they do not need to buy a newspaper to obtain news. Even in more remote corners of the world, access to the Internet is becoming more widespread and the online community is growing daily.  Secondly, online news is always up-to-date while printed news needs time for editing, printing and delivering. In this fast changing world, readers tend to expect updated information about what has just happened or is happening around them. Online news can be broadcast immediately with vivid pictures and relevant stories, making it more appealing to readers than printed news.  Finally, the Internet is a repository of information for people to dig for information that they need. Digital information can be stored in mass quantity, which allows internet users to search for events that occurred in the past. In contrast, newspapers are generally hard to preserve because of the corrosive effects of the environment and their sheer bulk makes storage difficult. This once again confirms the edge of online news.  In conclusion, I firmly believe that the Internet is even now replacing newspapers as the principal medium for accessing all the latest news. ",6.5,6.5,6.5,6.5
,Although more and more people read the news on the Internet newspaper will remain the most important source of news for the majority of people Do you agree or disagree with that statement ,"By the end of the 19th century, and the beginning of the 20th century, the newspaper industry with the advent of the New York Times, has grown tremendously and played an important role in providing news to readers. But nowadays, in my opinion, the development of online newspapers in particular, the internet in general, brings many new aspects to journalism.  First and foremost, online newspapers have the ability to store huge information, whether old or new. And with the presence of the Internet around almost every corner of the world, people with a portable device such as a mobile phone can get access to huge storage of news. Therefore, readers want to look up, learn about events, news that happened for a long time ago is completely possible to perform by simple operations. By contrast, with prolonging procedures including editing and printing, a traditional newspaper might not be able to compete with the Internet in terms of updating speed.  In addition, high interaction is an indispensable advantage of online newspapers and makes an important contribution to the transmission of information to readers. The electronic newspaper not only offers articles by journalists and reporters but also immediately receives feedback from readers through the comment lines under each reader's article. It can be seen that the online newspaper is a public forum that journalists and readers can exchange and share frankly about a problem in society. This is a feature that traditional (printed) newspapers cannot do and is only one-way interaction to people: reading.  The ultimate advantage of online newspapers is that information from around the world is updated regularly. Meanwhile, the printed press is limited to a certain area and scope and is difficult to update.  And the best advantage of online newspapers is that people will not have to spend money on buying monthly newspapers.  In conclusion, I disagree that the printed newspapers would continue to be the most crucial ( greatest) source of information because the more people turn to online newspapers for its benefits, the more difficult the traditional newspaper is",6,6,6,6
,"Although more and more people read the news on the internet, newspapers will remain the most important source of new. Do you agree or disagree with this statement? ","In the present situation where many people are searching for news on Google, it has been a debatable issue whether newspapers or broadcasting can remain the most essential means of conveying information or not. While some people agree with the above opinion, I personally contend that conventional newspapers will disappear in several decades with the following two rationales.  To begin with, the development of technology has accelerated the process of transmitting information between providers and consumers. For instance, nowadays, it is almost impossible not to witness people with no mobile devices, such as smartphones, tablets, and Macbooks. While we could only use the rudimentary type of cell phones in the early 20c. And the change has reduced the distance between news and viewers; people can speak and communicate in real-time even if there was an accident a couple of minutes ago by using YouTube live or something similar. Everybody is able to become a reporter or a viewer, and I believe that is a revolutionary alteration.  Another reason I find the upheaval more reasonable is that conventional newspapers have been manipulated. To be specific, from WW2, when Nazis spread their malicious, detrimental and manipulative propagandas, to the recent cases, when Japan regime is controlling official broadcasts to hide the truth of an enormous amount of nuclear emission in Fukushima. The prime minister, Abe, mentioned 'everything is under control, ', and the official, private broadcasts have never questioned regarding the issue against the government. Likewise, traditional news is likely to be used as a powerful tool for people who have money and authority; therefore, people have been finding a better way to replace outdated means.  In conclusion, while some people believe that conventional news will continue in the future, I am convinced that newspapers and broadcasts will be disappeared in several decades because the power of technology is strong enough to address the corruption across worldwide media. ",8,8,8,8
,"Although more and more people read the news on the internet, newspapers will remain the most important source of news for the majority of people. Do you agree or disagree with this statement? ","There is no doubt that news reading has become increasingly popular over the past few years. Many people believe that while the internet has become a major source of news, newspapers will always be the best place to know what is happening around the world. This essay will discuss why I disagree with this viewpoint.  Firstly, most newspaper organizations are developing and maintaining electronic news websites in order to reach more and more people. Since most people are maintaining electronic devices where they can find hundreds of online resources to know what is happening around them, many of them have lost interest in reading newspapers. For example, in India, many newspaper publishers have stopped publishing newspapers as their business went down because of advanced technology. In contrast, even though some critics argue that many older people still depend upon newspapers as they are not aware of online news, I believe online news readers outnumbered these elderly populations.  Moreover, more and more readers are concerned about the price of the newspaper. This is because nowadays the internet connection cost is cheaper than many newspapers in many countries. For example, in Japan, the internet connection price is 15 dollars per month, while the newspaper cost is around 20 dollars a month. While some people argue that newspaper companies offer annual discounts, I think the internet assists us in many ways besides reading online news.  In conclusion, I disagree with the opinion that newspapers will still be the best place to find the news even though more and more users prefer to read the news online because of online news websites and newspapers being more expensive than the internet. Therefore, I suggest newspaper companies to stop their publications and put more focus on developing online newspapers. ",8,8,8,8
,"Although more and more people read the news on the Internet, newspapers will remain the most important source of news for the majority of people. Do you agree or disagree?","The amount numnber of people using the internet has recenntly increased massively thoughout the world, which means the traditional newpapers are facing to the huge rival. I personally believe that the internet news will be soon as important as traditional press. On the one hand, quite a few people believe that the traditional newpapers plays an important source of information despite of technology evolution. Firstly, reading newspapers is the easiest way to approach information because not everyone in the world able to access the internet especialy in rural areas. Secondly, the old or elderly people who are not good at using the computer tend to read news as a traditional way. In addition, the quality of internet news sometimes are not reliable. This means that there are a great deal of editted sources in the internet have not been verified, leading to the confusions for readers. Howerver, the internet are more likely to become popular as traditonal press for some reasons. The first reason is that the internet allows us to update a variety of different comunications anytime wherever we are by using the smart phones or devices. It means that reading new on the internet is not only save your time and also more convienient. Another reason is that the internet could brings the chance to share news to others, give their own opinions. For example, facebook and twitter are two popular platforms that everyone usually post and update information. Finally, online press might help us to protect the environment by reducing the raw material for papers prodution. In conclution, although traditional newpapers remains significantly source of news, I personaly believe that the internet will soon be equally important. ",5.5,5.5,5.5,5.5
,"Although more and more people read the news on the Internet, newspapers will remain the most important source of news. Do you agree or disagree? ","Some people believe that newspapers will still maintain its popularity as the most important source of news, despite the widespread use of the Internet nowadays. I completely disagree with this opinion as the majority of people today neglect newspapers and use the Internet instead.  The use of newspapers has witnessed an undeniable decline in recent decades. Despite being extremely popular in the past as the sole source of news, newspapers do not possess the same influence and popularity as they did in the past. People started losing interest in them when the Internet was invented. For example, the only readers of newspapers in the twenty-first century are the elders who grew up reading them. However, these elders are being taught how to use the Internet by their grandchildren and are also losing interest in their beloved newspapers.  As the Internet is becoming more accessible to the public, an increasing number of people are leaving newspapers behind. The main reason for this is the wide variety of topics and news that the Internet contains and the easy accessibility to them. For instance, if an individual is interested in something, they can simply type whatever topic they have in mind into a search engine and find millions of articles on that topic. Furthermore, the news on the Internet is updated frequently, as opposed to newspapers that are daily or even weekly. Additionally, most newspapers contain local news, while the Internet contains news from over the world.  To conclude, despite some people arguing that newspapers will always remain important to the public, the vast difference between the number of Internet users and newspaper readers speaks volumes about the popularity of the Internet as opposed to newspapers. ",8,8,8,8
,An increasing number of people are buying what they need online What are the advantages and disadvantages for both individuals and companies to shopping online?,"The number of people buying products online is rising. The advantages of this practice among both companies and customers can be obviously found, specifically in a large busy city. Meanwhile, some companies and customers think it causes a negative impact on themselves too. In my essay, these two views will be discussed.  On one hand, shopping online is considered to be an effective and convenient way for people to manage their time while they are living busy lives. For example, my university friend's father is a doctor and he always finishes his work after the closing time of a supermarket so he decided to buy products he needs in daily life, such as shampoo, instant food online.  For companies, selling products online can help them develop their product since they can access the need of customers by considering their reviews on the product. Currently, a number of official brand websites provide a comment or review box under the product details so that customers who bought the product can share their opinion on it. Through looking at comments from customers, companies can easily improve their product quality, thus increase customer needs for their product.  On the other hand, buying good online is likely to be risky for individuals because they cannot know the condition of the good while it is being shipped. To illustrate, when I read comments written by buyers on the shopping online website, I saw many comments complaining that the product was in a poor condition because it was not rapped properly.  Meanwhile, companies may face difficulty selling their good to people who do not primarily use the Internet. For example, companies selling energy drinks, whose targeted customer is people working for building construction, might lose their profit if they sell their product online rather than in convenience stores. ",6,6,6,6
,An increasing number of people are buying what they need online. What are the advantage and disadvantage for both individuals and companies to shopping online. ,"People have different perspective regarding online shopping. Because of increasing demand of consumers there are a lot of profitable companies nowadays. Although some buyers and business enjoying the benefits of shopping online, others facing negative experiences.  Firstly, one of the good reason of buying online is convenient of costumers. All things that you possibly needed was posted in front of your laptop or mobile phones. People don't need to be stress in facing crowds in shopping mall or traffic in order to buy something. It takes only few hours to browse in internet then purchase order. After that it conveniently deliver to you without hassle. And for some companies this are beneficial. For example, they don't need a big capital to start business and manpower to help them. Since its online, they just need to upload the picture of their product for marketing. Less worker and more convenient. For instance, your place is far from shopping center, less worry because its easy for you to shop and less costly. And for the companies its accessible for them to showcase their product not only limited to one place but even to many places that they can thru social media.  On the other hand, due to growing online consumers most of the companies gained a good profit on their business. But one of the negative impact, they are not an environmental friendly. According to latest research about online shopping, they're using more plastic bags for packaging compare to shopping center that promoting eco-friendly bags to use instead of plastic. For example, if you will buy three products online they will pack it separately, whereas in shop these can be put together in one bag. Another possible problem is, buyers tend to be more impulsive. Because of accessibility of online shopping the costumer buy more products than usual. This will result of increasing number of people having addiction of buying things even its not necessary.  In conclusion, online business are both beneficial to consumer and companies. However, there are also consequences to be aware of. ",6,6,6,6
,An increasing number of people are buying what they need online. What are the advantages and disadvantages for both individuals and companies to s 1,"Recently, the number of people who purchases various products and services online is increasing more than ever before. There is no denying the fact that online shopping has become more popular than in-store shopping. This trend has both positive and negative impacts on customers and suppliers as well.  On the first side, online shopping is indeed convenient. Customers do not need to go outside to shop, they can purchase anything simply with a few mouse clicks from the comfort of their houses. Furthermore, online shopping allows people to select from a wide range of products, and the prices and features are often compared enabling customers to choose the right products that suit their needs. For retailers, it is easier to manage the business, all they need is the warehouse and an office, hire a couple people to start our own online businesses. Plus, the business can be exposed to people throughout the day to fit different groups of customers needs.  On the other side, the ease of online shopping has made many people compulsive shoppers. Most of us spend lots of time on the internet every day. And while we are on the internet, we get bombarded with numerous advertisements. The fact that online shopping encourages us to buy things that we do not need or use cannot be denied. This can lead to debts. Also, there are security concerns. When we buy things online, we run a small risk of getting our financial information exploited by hackers. There are some disadvantages for the suppliers also. The biggest concern is in relation to the returning policy. It is reasonable for people to try on clothes, and they have the right to return the product if they don't fit. However, to the retailers, this kind of situation will create a lot more works and lower the efficiency.  In conclusion, Online shopping has been very familiar to many of us nowadays. Besides many benefits, this kind of business also brings some problems for both customers and retailers. ",6.5,6.5,6.5,6.5
,An increasing number of people are buying what they need online. What are the advantages and disadvantages for both individuals and companies to shopping online?,"Nowadays, the technology can provide what are we necessary. The sophisticated improvement in shopping are we can buy anything by online. Therefore, people have tendency to buy stuff in online store. This essays will discuss the positive and negative impact for both individuals and enterprise to buying online.  There are many advantages for each person buy things by online, unlike buy stuff directly in the store, buy a plethora of things in online shop have numerous benefit like spend effective time, and get more promos. For instance, in conventional store, people should come to store and then buy the thing before they grab it. Whereas, if people buy stuff in online store, we only open the application from handphone and touch the pay button and we can get it.  In other hands, the advantages will be followed with disadvantages. First, in online market, we can not make sure the stuff is nice or imperfect as if gambling. Even if we try to contact the owner of the business, there is no guarantee for the quality.  Conclusion, the beneficial or unbeneficial from paying something in online store is balance. We do not need come to the store and only grab it by touch the button in smartphone. Yet, the consequence we can not ensure the quality of stuff that we buy. ",5,5,5,5
,An increasing number of people are buying what they need online. What are the advantages and disadvantages for both individuals and companies to shopping online? ,"Nowadays, computer technology has replaced many of the traditional methods and one of them is borrowing books from libraries. I completely agree that maintaining public libraries is not an effective method of utilizing the money as people have moved to the e-books.  Firstly, people are too busy to go to the library and borrow books, which led them to rely on e-books. For example, a study conducted by Oxford University in the Cannimara Study Central in Chennai, states that, only 300 books have been borrowed over a period of 6 months in 2019, whereas the count was 4730 in 2002. This drastic change is the result of the availability of the internet to all the corners of the world, because of which, anyone can download and read any content they want.  Secondly, there is a plethora of fund involved in keeping a library running, which involves the rent of the space, electricity, staff members' salary, etc. . These costs can be cut when we migrate to a computerized library model, where one person has to be employed and all the e-books can be uploaded to the website, where people pay and download the content. However, thiss cannot replace the experience of reading a real book- it cannot give the emotional-connect with a book. On the other hand, people can escape from carrying the books everywhere, as these e-books can be read in their mobile phone or tablet.  In conclusion, there will be initial hesitations and discomfort when we adapt a new technology, but in a few years, people will get used to the new trend. In a couple of years, borrowing books, going back to return would become old fashioned when computers give them flexibility in time, place and abundant options to read in just one click. ",6.5,6.5,6.5,6.5
,An increasing number of people are buying what they need online. What are the advantages and disadvantages for both individuals and companies to shopping online? ,"Online shopping is a popular choice among the increasing number of people. Purchasing items online has certain benefits and drawbacks on individuals and companies.  There are numerous positive outcomes of buying things online, on the buyers and suppliers. Talking about the individuals, they can purchase being hassle free. Online items available can be bought with a few clicks of computer through internet, at an ease of providing it at one's home. Thus, it requires no effort of going to shopping market for searching and buying a commodity. Similarly, the companies selling items online don't require a physical existence or an operating branches in cities, which save rental and employers hiring cost. ""Daraz"" an online ecommerce site, for example is supplying products to their customers online all over Pakistan, without having real employers and branches. Therefore, effortless item availability and saving rental and worker expenses are advantages, online shopping provides.  However, there exists certain negative effects of online purchasing on individuals and companies. On the customer level, the quality of the product could not be possibly judge or check 100%, as it is only available online in the form of pictures. For instance, these days many customers while buying things online are mostly complaining of the difference between the quality of item before and after receiving. Likewise, online shopping trend is resulting in tremendous competition among companies working online. This is because 95% companies working and struggling to gain maximum customers in the online market space. Which in turn, makes the growth of the online business an extremely arduous development, especially for companies who are possessing mid-level advertising and marketing strategies.  In conclusion, everyone is increasingly relying on getting product through web in the contemporary world. On the one hand, less or no effort by individuals and cost effectiveness for companies are the top benefits of online purchasing trend. On the other hand, quality of the item and competition among companies are some downsides of this facility. ",6,6,6,6
